,Unique_Id,Location,Tansaction_Type,Property_Type,Address,Bedrooms,Bathrooms,Price,Description,Listing_Date,Agent,Listing_Source,listing_URL
0,BR1S00001,BR1,Sales,Semi-Detached,"Leamington Avenue, Bromley",4,2,"£800,000",Laurels are delighted to present to the market this stunning four-bedroom family home which is situated in a friendly neighbourhood in the highly sought-after area of Bromley. The fantastic property is conveniently located within minutes of multiple bus links and only a short walk from Grove Park...,Added on 02/05/2023,Allow all cookies,RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E251&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
1,BR1S00002,BR1,Sales,Detached,"Provident House, 122-126 High Street, Bromley BR1",6,7,"£5,750,000","Extremely rare opportunity to purchase this truly stunning family home which is set behind gates and located on one of Bickley’s most desirable private roads. The current owners have undergone a full extension and refurbishment providing just under 7,500 sq ft. of luxury living arranged ove...",,"Added on 02/05/2023 by Laurels, South London",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E251&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
2,BR1S00003,BR1,Sales,Detached,"Woodlands Close, Bromley",5,5,"£3,500,000","Guide Price £2,500,000 to £2,600,000. Brand new five bedroom, five bathroom, detached family home overlooking Sundridge Park Golf Course, providing approximately 4,000 sqft of beautifully designed living space.",Added on 25/03/2023,"Marketed by Knight Frank Land, London",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E251&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
3,BR1S00004,BR1,Sales,Detached,Sundridge Avenue Bromley BR1,6,3,"£2,500,000","A fantastic family home offered in quiet sought after cul de sac, close to Chislehurst, Elmstead Woods and Bickley stations, servicing your commute to London. Just 0.3 of a mile from Bullers Woods Schools. Six bedrooms, three bathrooms, large driveway and garage.",Added on 16/03/2023,"Added on 25/03/2023 by Alan de Maid, Chislehurst",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E251&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
4,BR1S00005,BR1,Sales,House,"Mavelstone Close, Bromley, Kent, BR1",8,3,"£2,400,000","Of interest to property developers, speculators or possibly self builders, this character Edwardian period residence complete with coach house offers much potential. The property has a detailed planning history much of which has been resisted by local planners and appeal inspectors other than an ...",Added on 22/02/2023,"Added on 16/03/2023 by Unique, Langford Russell Bromley",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E251&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
5,BR1S00006,BR1,Sales,Detached,"Southborough Road, Bromley",5,4,"£2,300,000",An attractively designed and built modern house in an enviable location close to Bickley and Chislehurst stations and good schools.,Reduced on 13/04/2023,"Added on 22/02/2023 by jdm, Chislehurst",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E251&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
6,BR1S00007,BR1,Sales,Detached,"Bickley Park Road, Bickley, Kent, BR1",5,1,"£2,250,000","Guide Price £2,250,000 - £2,500,000 A unique award winning 5/6 bedroom detached family home with additional annexe. The property was designed and built for the current owners and benefits from a basement playroom, two studies and won a Green award with the London Borough of Brom...",Added on 16/04/2023,"Reduced on 13/04/2023 by Hunters, Bromley",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E251&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
7,BR1S00008,BR1,Sales,Detached,"Timms Close, Bromley, Kent, BR1",5,5,"£2,250,000","Unique, custom designed 'Green' award winning 5 bedroom detached home with additional self contained annex. Secluded plot within quiet close. Short walk from Bickley Station. EPC rating : C",Reduced on 27/04/2023,"Added on 16/04/2023 by jdm, Chislehurst",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E251&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
8,BR1S00009,BR1,Sales,House,"Timms Close, Bickley, BR1",5,3,"£2,250,000","Woodlands Road is probably one of Chislehurst's best kept secrets and most desirable locations, being on a private road in the highly sought after 'Bickley Park Estate'. Each home is unique and 'Foxdale' is certainly in that category. Already oozing with pure charm and natural character, ...",Reduced on 27/04/2023,"Reduced on 27/04/2023 by Sinclair Hammelton, Bromley",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E251&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
9,BR1S00010,BR1,Sales,Detached,"Woodlands Road, Bromley",4,5,"£1,850,000",Set on a generous plot with a stunning 127 ft West facing garden is this spacious five bedroom detached house presented in excellent order 0.9 miles to both Elmstead Woods and Bickley BR,Added on 07/02/2023,"Reduced on 27/04/2023 by Fine & Country, Bromley",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E251&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
