,Unique_Id,Location,Tansaction_Type,Property_Type,Address,Bedrooms,Bathrooms,Price,Description,Listing_Date,Agent,Listing_Source,listing_URL
0,DA17S00001,DA17,Sales,Detached,"Bedwell Road, Belvedere, DA17",3,1,"£800,000",Located in the sought after Bedwell Road in the heart of Nuxley Village is this larger than average Detached family home offering ample accommodation throughout. Internal viewing is highly recommended to appreciate what’s on offer here with the added benefit of no onward chain.,Reduced on 27/03/2023,Allow all cookies,RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E597&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
1,DA17S00002,DA17,Sales,Detached,"Grant Close, Upper Belvedere, DA17",4,2,"£650,000","GUIDE PRICE £650,000 - £700,000 • RE/MAX are delighted to offer for sale this rarely available detached house built in 2009, situated in a private cul-de-sac close to schools, amenities, and transport links including Abbey Wood / Crossrail Station.This spacious p...",Added on 03/05/2023,"Reduced on 27/03/2023 by Robinson Jackson, Belvedere",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E597&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
2,DA17S00003,DA17,Sales,Semi-Detached,Parsonage Manorway Belvedere DA17,6,3,"£600,000","Offered to the market is this substantial family home located well for ample transport links, amenities and reputable schools. On a generous plot, the house boasts six bedrooms, three bathrooms and mass entertaining space.",Reduced on 26/04/2023,"Added on 03/05/2023 by RE/MAX Select, Bexleyheath",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E597&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
3,DA17S00004,DA17,Sales,Bungalow,"Harold Avenue, Belvedere, DA17",3,2,"£575,000","** Guide price £575,000-£600,000 ** Call today to view this stunning extended, three bedroom semi-detached bungalow which has been recently renovation throughout! Ideal for any buyer looking for no work with the benefit of an en-suite, low maintenance garden and no onward chain. ...",Added on 17/02/2023,"Reduced on 26/04/2023 by Acorn, Belvedere",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E597&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
4,DA17S00005,DA17,Sales,Semi-Detached,"Erith Road, Belvedere, Kent, DA17",4,1,"£550,000","***Guide Price £550,000 to £575,000*** Rarely available is this well presented four bedroom semi-detached family home offering larger than average space throughout. Situated on the local bus routes and close to both Lessness Heath primary school and Trinity Secondary school and t...",Reduced on 13/03/2023,"Added on 17/02/2023 by Robinson Jackson, Belvedere",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E597&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
5,DA17S00006,DA17,Sales,Detached,"Woolwich Road, Belvedere, Kent",3,1,"£550,000","Built circa 1850 and updated over the years to compliment the original period features as well as to add further interesting design elements, this unique house was once known as ""Avon Cliff"". It was used as a tea room and rest-stop by Victorian visitors. Also referred to locally as ""The Last Hous...",ONLINE VIEWING,"Reduced on 13/03/2023 by Robinson Jackson, Belvedere",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E597&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
6,DA17S00007,DA17,Sales,House,"Prospect Close, Upper Belvedere, Kent, DA17",3,1,"£525,000",Located in a sought after road in Upper Belvedere is this well presented three bedroom semi detached family home with amazing views. Situated only a short walk from Nuxley Village where you will find all of your local amenities. Internal viewing is highly advised with the added benefit of a garag...,Added on 22/04/2023,ONLINE VIEWING,RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E597&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
7,DA17S00008,DA17,Sales,End of Terrace,"Picardy Road, Belvedere",4,2,"£525,000","**OFFERS IN THE REGION OF £525,000** This 4 bedroom, 2 bathroom, spacious, recently renovated home would make an ideal investment or family home, ideally located within walking distance of local shops, Nuxley village, Belvedere station & Abbeywood station benefiting from the new Elizabeth Line.",Added on 18/03/2023,"Added on 22/04/2023 by Wards, Barnehurst",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E597&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
8,DA17S00009,DA17,Sales,Semi-Detached,"Cray Road, Upper Belvedere, DA17",4,1,"£500,000","GUIDE PRICE £500,000 - £525,000 • RE/MAX SELECT are delighted to offer for sale this extended semi-detached house, close to schools, amenities, and transport links. The property comprises 4 bedrooms, living room, family room, extended kitchen/dining room, and upstairs family b...",Reduced on 06/04/2023,"Added on 18/03/2023 by Robinson Jackson, Belvedere",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E597&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
9,DA17S00010,DA17,Sales,Semi-Detached,Salmon Road Belvedere DA17,4,1,"£485,000","Acorn are delighted to welcome to the market this spacious Semi Detached family home, on a popular road in DA17. Offered to the market in good order, the house offers ample off street parking and a recently landscaped rear garden.",Added on 03/03/2023,"Reduced on 06/04/2023 by Yopa, South East",RightMove,https://www.rightmove.co.uk/property-for-sale/find.html?searchType=SALE&locationIdentifier=OUTCODE%5E597&insId=1&radius=0.0&minPrice=&maxPrice=&minBedrooms=&maxBedrooms=&displayPropertyType=&maxDaysSinceAdded=&_includeSSTC=on&sortByPriceDescending=&primaryDisplayPropertyType=&secondaryDisplayPropertyType=&oldDisplayPropertyType=&oldPrimaryDisplayPropertyType=&newHome=&auction=false
